model,artifact,severity,n_records,feature_dim,features_path,feature_redundancy_mean,feature_redundancy_std,feature_redundancy_global,feature_redundancy_batches,centroid_inequity_mean,centroid_inequity_std,centroid_inequity_global,centroid_inequity_batches,prediction_inequity_norm,prediction_inequity_raw,prediction_entropy,mean_probability_mass,prediction_inequity_global_norm,prediction_inequity_global_raw,prediction_share_entropy_global,mean_probability_mass_global,prediction_binary_entropy_global,prediction_binary_entropy_norm_global
jepa,physionet_clean,physionet_clean,88167,768,C:\Users\simon\Desktop\bm\inference\jepa\physionet_clean\physionet_clean\features.npy,56.9527858716189,10.998252303625168,35.66141406106866,1378,0.8981434914387535,0.0769582601886927,0.9256811141967772,1378,0.0696599998044096,0.2120814324163342,2.8324410053070888,2.183554762085829,0.0696599998044096,0.2120814324163342,2.8324410053070888,2.183554762085829,0.0874592519484451,0.1261770290658802
jepa,physionet_dn,physionet_dn_Sev1,88167,768,C:\Users\simon\Desktop\bm\inference\jepa\physionet_dn\physionet_dn_Sev1\features.npy,54.073946067512885,10.067271196011134,32.877430888073924,1378,0.676917120403406,0.0651207315157342,0.6740318536758423,1378,0.0798328587187507,0.2430529296368409,2.801469508086582,3.372955624203811,0.0798328587187507,0.2430529296368409,2.801469508086582,3.372955624203811,0.2106110147549322,0.303847466543533
jepa,physionet_dn,physionet_dn_Sev2,88167,768,C:\Users\simon\Desktop\bm\inference\jepa\physionet_dn\physionet_dn_Sev2\features.npy,59.64953592856623,10.21913897772247,39.083525572818544,1378,0.6572148873861365,0.0571346916745263,0.6518493294715881,1378,0.1203657274963916,0.3664561580956675,2.6780662796277555,3.6521161017646193,0.1203657274963916,0.3664561580956675,2.6780662796277555,3.6521161017646193,0.2213923857484163,0.3194016970098167
jepa,physionet_dn,physionet_dn_Sev3,88167,768,C:\Users\simon\Desktop\bm\inference\jepa\physionet_dn\physionet_dn_Sev3\features.npy,80.95335618583711,35.242502331739466,63.26909403941667,1378,0.7191116972914282,0.055002924874995,0.7255446910858154,1378,0.176795548962634,0.5382580157063694,2.5062644220170536,3.280760124712617,0.176795548962634,0.5382580157063694,2.5062644220170536,3.280760124712617,0.2018949154835606,0.2912727933488293
jepa,physionet_em,physionet_em_Sev1,88167,768,C:\Users\simon\Desktop\bm\inference\jepa\physionet_em\physionet_em_Sev1\features.npy,58.17901513449988,12.445676686070229,38.43179045756499,1378,0.4394557461337185,0.0519053723535638,0.4258957505226135,1378,0.0974841506032748,0.2967926838340795,2.7477297538893435,6.239709695350621,0.0974841506032748,0.2967926838340795,2.7477297538893435,6.239709695350621,0.347071086037168,0.500717734661769
jepa,physionet_em,physionet_em_Sev2,88167,768,C:\Users\simon\Desktop\bm\inference\jepa\physionet_em\physionet_em_Sev2\features.npy,63.95523191125021,13.55160635522346,45.7836416430827,1378,0.4179929477123459,0.0434730802556023,0.4117486476898193,1378,0.1008884209047016,0.3071570611508489,2.737365376572574,6.967601918219082,0.1008884209047016,0.3071570611508489,2.737365376572574,6.967601918219082,0.3761173404473806,0.5426226218557819
jepa,physionet_em,physionet_em_Sev3,88167,768,C:\Users\simon\Desktop\bm\inference\jepa\physionet_em\physionet_em_Sev3\features.npy,76.90844426277405,15.376649929244133,59.787919105768815,1378,0.356097577272202,0.0265525997793346,0.3479254841804504,1378,0.0901986526856803,0.2746118219539761,2.769910615769447,7.571824663157975,0.0901986526856803,0.2746118219539761,2.769910615769447,7.571824663157975,0.4192273054312678,0.6048171545509329
jepa,physionet_gn,physionet_gn_Sev1,88167,768,C:\Users\simon\Desktop\bm\inference\jepa\physionet_gn\physionet_gn_Sev1\features.npy,67.00979427118006,12.066805793672668,45.28418951525946,1378,0.428590267507362,0.0613411036240844,0.4051550626754761,1378,0.0818905483864562,0.2493176120000417,2.795204825723381,5.794691105534239,0.0818905483864562,0.2493176120000417,2.795204825723381,5.794691105534239,0.3502921868110133,0.5053648007743993
jepa,physionet_gn,physionet_gn_Sev2,88167,768,C:\Users\simon\Desktop\bm\inference\jepa\physionet_gn\physionet_gn_Sev2\features.npy,78.95861138040583,12.66378507420246,60.86691324879068,1378,0.3364121464063536,0.0446093208268827,0.3240799307823181,1378,0.0820902343993579,0.2499255605468202,2.7945968771766028,7.174105760443874,0.0820902343993579,0.2499255605468202,2.7945968771766028,7.174105760443874,0.4272545852371958,0.6163980713187733
jepa,physionet_gn,physionet_gn_Sev3,88167,768,C:\Users\simon\Desktop\bm\inference\jepa\physionet_gn\physionet_gn_Sev3\features.npy,88.70425999828996,19.17400564400353,73.46355582695774,1378,0.3089313397213751,0.0296700105308775,0.2998775243759155,1378,0.0815833972776355,0.2483824835574655,2.796139954165957,7.481274791379026,0.0815833972776355,0.2483824835574655,2.796139954165957,7.481274791379026,0.4515677557389818,0.6514745618299879
